Cancer Type,Source URL,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Nierkanker,https://www.kanker.nl/kankersoorten/nierkanker/algemeen/wat-is-nierkanker,"Nierkanker is kanker die in de nier ontstaat. Meestal gaat het om niercelkanker, dit is de meest voorkomende soort nierkanker. De medische term is niercelcarcinoom.","Veel mensen gaan op zoek naar wat nierkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van nierkanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van nierkanker . ","Vaak ontdekt de arts nierkanker toevallig. Bijvoorbeeld als je een echografie krijgt van je buik. De meeste mensen met nierkanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bloed in je plas, pijn in je zij of een voelbare zwelling van je buik. Lees verder over de symptomen bij nierkanker . ",De precieze oorzaak van nierkanker is niet bekend. Wel zijn er risicofactoren die de kans groter maken dat je nierkanker krijgt. Lees verder over de risicofactoren van nierkanker . ,"De meeste mensen met nierkanker krijgen een operatie. De arts haalt de tumor dan weg. Je kunt ook een andere behandeling krijgen, zoals bestraling, warmte-ablatie met MWA (microwave ablatie) of cryo-ablatie. Bij kleine tumoren in de nier die langzaam groeien kan ook gewacht worden met de behandeling. Je krijgt dan regelmatig een echo of scan om de groei van de tumor te volgen. Als je uitzaaiingen hebt, krijg je meestal bestraling, doelgerichte therapie of immunotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Lees verder over de behandeling van nierkanker . "
Non-hodgkinlymfoom,https://www.kanker.nl/kankersoorten/non-hodgkinlymfoom/algemeen/wat-is-non-hodgkinlymfoom,Non-hodgkin of non-hodgkinlymfoom is een verzamelnaam voor lymfeklierkanker. De kanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam.,"Als je weet dat je non-hodgkin hebt, heb je misschien vragen over je vooruitzichten. Is non-hodgkin goed te behandelen en wat zijn de verwachtingen? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van non-hodgkin hangt af van verschillende dingen. Het maakt vooral uit of het lymfoom agressief is, of indolent (niet-agressief). En welke soort je precies hebt. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van een agressief non-hodgkinlymfoom of de overlevingscijfers van een indolent non-hodgkinlymfoom . ","Soms kun je een non-hodgkinlymfoom opmerken door een vergrote lymfeklier. Bijvoorbeeld als het lymfoom in de hals, de oksel of de lies zit. Maar je kunt ook andere klachten hebben door een non-hodgkinlymfoom. Lees verder over de symptomen van non-hodgkin . ",Meestal is er geen duidelijke oorzaak van non-hodgkin. Non-hodgkin is ook niet erfelijk. Lees verder over oorzaken en risicofactoren bij non-hodgkin . ,"Welke behandeling je krijgt, ligt aan welke soort non-hodgkin je precies hebt. Bij een agressief non-hodgkin moet de behandeling snel beginnen. Meestal krijg je dan chemo-immunotherapie. Heb je een indolent non-hodgkin, dan wil de arts misschien liever afwachten om te zien hoe de ziekte zich ontwikkelt. Het afwachten heet ‘ wait and see ’. Lees verder over de behandeling van non-hodgkin . "
Oogkanker,https://www.kanker.nl/kankersoorten/oogkanker/algemeen/wat-is-oogkanker,Oogkanker is kanker die in het oog ontstaat. De medische term is oculaire kanker. Oogkanker komt weinig voor. Jaarlijks krijgen ongeveer 180 mensen kanker in het oog.,"Begrijpelijk dat je op zoek gaat naar wat oogkanker betekent voor je vooruitzichten. Is deze kanker goed te behandelen? En wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van oogkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort oogkanker die je hebt, en hoe ver de ziekte is uitgebreid. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.",Oogkanker ontstaat langzaam. In het begin heb je meestal geen klachten. Het eerste symptoom is meestal: slechter zien. Ook kun je soms veranderingen opmerken aan of in je oog. Lees meer over de symptomen van oogkanker .,N/A,"Er zijn verschillende behandelingen voor oogkanker. Zoals een operatie, bestraling, cryotherapie, chemotherapie, immunotherapie. Lees verder over de behandeling van oogkanker ."
Oogmelanoom,https://www.kanker.nl/kankersoorten/oogmelanoom/algemeen/wat-is-oogmelanoom,Oogmelanoom is kanker die in het oog ontstaat. Het medische woord is uveamelanoom. Deze soort kanker begint bijna altijd in de laag die achter het oogwit zit: de uvea.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is het oogmelanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte en dikte van het oogmelanoom, de plek van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers bij oogmelanoom .","Een oogmelanoom groeit meestal langzaam. Je krijgt vaak pas klachten na maanden tot jaren. De klachten van een oogmelanoom zijn aspecifiek, dat wil zeggen dat ze ook voorkomen bij andere oogaandoeningen. Een eerste symptoom kan zijn: slechter zien. Het is verstandig om met oogklachten naar de huisarts te gaan en je te laten verwijzen naar een oogarts. Lees meer over de symptomen van oogmelanoom .","Waardoor oogmelanoom precies ontstaat, is niet bekend. Wel zijn er een paar risicofactoren  die de kans groter maken dat je een oogmelanoom krijgt. Lees verder over de risicofactoren van oogmelanoom .","Mogelijke behandelingen voor oogmelanoom zijn een operatie en/of bestraling. Lees verder over behandelingen bij oogmelanoom . Bij uitzaaiingen heeft de behandeling vooral als doel om de ziekte te remmen, het leven te verlengen en klachten te verminderen. Meer over de behandeling van uitgezaaid oogmelanoom ."
Oorkanker,https://www.kanker.nl/kankersoorten/oorkanker/algemeen/wat-is-oorkanker,Bij oorkanker zit er een kwaadaardige tumor in het oor. Oorkanker is een zeldzame ziekte. In Nederland krijgen ieder jaar maar een paar mensen deze diagnose.,N/A,"Een klacht die vaak voorkomt bij oorkanker is een loopoor dat niet overgaat. Er komt dan vocht uit het oor, en soms ook een beetje bloed. Andere klachten zijn minder goed horen of oorpijn. Lees verder over de symptomen van oorkanker.","Wat de oorzaak is van oorkanker, valt niet te zeggen. Het is niet duidelijk hoe het komt dat sommige mensen deze ziekte krijgen. Zover bekend is er geen erfelijke aanleg voor oorkanker. Dat betekent dat kinderen van ouders die oorkanker hebben (gehad), geen verhoogd risico hebben op de ziekte.",De meeste mensen met oorkanker krijgen een operatie. Na de operatie is vaak nog een behandeling met bestraling nodig. Bekijk de uitgebreide informatie over de behandeling van oorkanker.
Papil van Vater-kanker,https://www.kanker.nl/kankersoorten/papil-van-vater-kanker/algemeen/wat-is-papil-van-vater-kanker,"Papil van Vater-kanker ontstaat in je buik, op de plek waar de alvleesklierbuis en de galweg bij elkaar komen. Deze plek heet de Papil van Vater. Deze kankersoort komt weinig voor. Papil van Vater-kanker heet ook wel papilkanker of ampullair (adeno)carcinoom.","Veel mensen die te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Vaak is het lastig om daar een duidelijk antwoord op te geven. De prognose hangt af van veel verschillende factoren. Bijvoorbeeld van hoe groot de tumor is, of de tumor in andere organen is gegroeid. En of er uitzaaiingen zijn en waar die zitten. Ook zijn de kenmerken van de tumor belangrijk. Die kenmerken kan de patholoog onder de microscoop zien en kunnen voorspellen hoe agressief de kanker is. Het is meestal heel moeilijk iets over je vooruitzichten te zeggen. Heb je vragen? Stel die aan je arts. ","Klachten die door Papil van Vater-kanker kunnen komen zijn: afvallen pijn in de bovenbuik minder zin in eten vermoeidheid jeuk over het hele lichaam geelzucht, dat is te merken aan een gele huid, geel oogwit, hele lichte ontlasting (poep) en donkere urine (plas) ","Waarom iemand kanker in de Papil van Vater krijgt, is niet bekend. ","Papil van Vater-kanker kan terugkomen na de operatie. Dit gebeurt bij ongeveer de helft van de mensen binnen 5 jaar. Hoe groot de kans is dat de kanker bij jou terugkomt, is moeilijk te voorspellen. Je hoort van je arts of je onder controle blijft. En zo ja, hoe vaak je op controle komt en of je onderzoeken krijgt. "
Peniskanker,https://www.kanker.nl/kankersoorten/peniskanker/algemeen/wat-is-peniskanker,Peniskanker is kanker die in de penis ontstaat. Het medische woord hiervoor is peniscarcinoom. Peniskanker komt niet vaak voor.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is peniskanker goed te behandelen? En wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van peniskanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van peniskanker .","Peniskanker begint vaak als een plekje op je penis dat niet weggaat. Dat kan eruitzien als een puistje, wratje of zweertje. Meestal zit dit op je eikel of onder je voorhuid. Lees verder over symptomen bij peniskanker .",Peniskanker krijg je meestal als je lang of vaak een ontsteking in je penis hebt. Bijvoorbeeld door een strakke voorhuid. Je kunt ook peniskanker krijgen door een virus: HPV . Lees verder over de oorzaken en risicofactoren van peniskanker .,Er zijn verschillende behandelingen mogelijk bij peniskanker. Veel mannen krijgen een operatie. Soms krijg je chemotherapie of bestraling. Lees verder over behandelingen bij peniskanker .
Plasbuiskanker,https://www.kanker.nl/kankersoorten/plasbuiskanker/algemeen/wat-is-plasbuiskanker,Plasbuiskanker is kanker die ontstaat in de plasbuis. Je plas (urine) gaat er doorheen voordat je die uitplast. Plasbuiskanker komt heel weinig voor. Een ander woord voor plasbuiskanker is urethrakanker of urethracarcinoom.,"Misschien wil je weten wat kanker betekent voor je vooruitzichten. Is het goed te behandelen? En wat kan je verwachten voor de toekomst? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van plasbuiskanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van plasbuiskanker .","Plasbuiskanker merk je het eerste doordat er iets verandert aan je plas. Er kan bloed in zitten. Soms heb je een knobbel of bultje bij je vagina, penis of in je lies. Lees verder over symptomen bij plasbuiskanker .",Er zijn risicofactoren die de kans op plasbuiskanker groter maken. De belangrijkste zijn: eerder blaaskanker hebben gehad of een jarenlange ontsteking van de plasbuis. Lees verder over de oorzaken en risicofactoren van plasbuiskanker .,Heb je plasbuiskanker? Dan kun je verschillende behandelingen krijgen. Soms krijg je een operatie om de tumor weg te halen. Heb je uitzaaiingen in je longen of botten? Dan kun je niet geopereerd worden. Je krijgt dan een behandeling die zorgt dat je minder klachten hebt. Of dat de tumor minder snel groeit. Lees verder over behandelingen bij plasbuiskanker .
Plaveiselcelcarcinoom,https://www.kanker.nl/kankersoorten/plaveiselcelcarcinoom/algemeen/wat-is-plaveiselcelcarcinoom,Een plaveiselcelcarcinoom is een kwaadaardig plekje dat ontstaat in je huid. Het is een vorm van huidkanker. De meeste mensen met een plaveiselcelcarcinoom op de huid zijn 60 jaar of ouder.,"Plaveiselcelcarcinoom zaait bijna nooit uit. De arts kan het plekje vaak helemaal weghalen. Als je wel uitzaaiingen hebt, is dat meestal in de lymfeklieren. Die uitzaaiingen kan de arts vaak goed behandelen. Bijna iedereen geneest van een plaveiselcelcarcinoom. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan je meer vertellen. Bekijk de overlevingscijfers van plaveiselcelcarcinoom .",N/A,"Er zijn factoren die het risico op een plaveiselcelcarcinoom groter maken. De belangrijkste is uv-straling van de zon of zonnebank. Daarom zit een plaveiselcelcarcinoom vaak op een plek die jarenlang veel zon heeft gehad. Zoals het gezicht, de hals, de onderarmen en de handen. Lees verder over de risicofactoren van plaveiselcelcarcinoom .",Meestal snijdt de arts het plaveiselcelcarcinoom weg. Soms wordt de plek bestraald. Lees verder over de behandeling van een plaveiselcelcarcinoom .
Primaire tumor onbekend (PTO),https://www.kanker.nl/kankersoorten/primaire-tumor-onbekend-pto/algemeen/wat-is-primaire-tumor-onbekend-pto,Bij primaire tumor onbekend (PTO) heb je uitzaaiingen van kanker. Maar: het is niet duidelijk waar de kanker is ontstaan. En dus ook niet waar de uitzaaiingen vandaan komen. Meestal kun je niet genezen van PTO.,Veel mensen gaan op zoek naar wat PTO betekent voor hun vooruitzichten. Wat kan ik verwachten? Meestal zijn de vooruitzichten niet goed. De ziekte verloopt vaak snel en de meeste mensen met PTO kunnen niet meer beter worden. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van PTO .,"De meeste mensen met PTO hebben vage klachten, zoals vermoeidheid, pijn of afvallen zonder reden. Dit zijn klachten die vaker voorkomen bij uitgezaaide kanker. Maar deze klachten kunnen ook een andere oorzaak hebben. Waar je bij PTO last van hebt, heeft ook te maken met de plaats van de uitzaaiingen en hoe groot de uitzaaiingen zijn. Lees verder over de symptomen bij primaire tumor onbekend .",N/A,"Als je PTO hebt, kun je meestal niet meer beter worden. De behandelingen die je dan krijgt zijn niet om te genezen. Je krijgt ze om de ziekte te remmen en je klachten zo veel mogelijk te verminderen. Zoals chemotherapie of bestraling tegen de pijn. Lees verder over de behandelingen bij primaire tumor onbekend ."
Prostaatkanker,https://www.kanker.nl/kankersoorten/prostaatkanker/algemeen/wat-is-prostaatkanker,Prostaatkanker is kanker die in de prostaat ontstaat. De medische naam hiervoor is prostaatcarcinoom. Prostaatkanker is de meest voorkomende vorm van kanker bij mannen.,"Prostaatkanker is de meest voorkomende vorm van kanker bij mannen. Elk jaar krijgen ongeveer 13.000 mannen de diagnose prostaatkanker. De ziekte komt vooral voor bij mannen boven de 65 jaar. Maar ook jongere mannen kunnen prostaatkanker krijgen. De vooruitzichten van prostaatkanker die niet is uitgezaaid, zijn meestal gunstig. Vijf jaar na de diagnose zijn de meeste patiënten nog in leven. Bij uitgezaaide prostaatkanker is de prognose minder goed. → Bekijk de overlevingscijfers van prostaatkanker",Prostaatkanker geeft in het begin vaak geen duidelijke klachten. De meeste mannen merken daardoor niet dat ze prostaatkanker hebben. → Lees meer over symptomen van prostaatkanker,Er is meestal geen duidelijke oorzaak van prostaatkanker aan te wijzen. Er zijn wel risicofactoren die de kans op prostaatkanker vergroten. → Lees meer over de oorzaken en risicofactoren van prostaatkanker,"Bij prostaatkanker zijn verschillende behandelingen mogelijk. Samen met je arts bespreek je wat in jouw situatie de beste behandeling is. Voor de behandeling van prostaatkanker maakt het veel uit of de tumor alleen in de prostaat zit, doorgegroeid is buiten de prostaat of uitgezaaid is. →Bekijk de mogelijke behandelingen per stadium Mogelijke behandelingen bij prostaatkanker zijn: Actief volgen Operatie Inwendige bestraling (brachytherapie) Uitwendige bestraling Hormonale therapie Chemotherapie Radioactief radium Lutetium-PSMA Vaak krijg je een combinatie van behandelingen. → Lees de uitgebreide informatie over behandelingen bij prostaatkanker"
Pseudomyxoma peritonei (PMP),https://www.kanker.nl/kankersoorten/pseudomyxoma-peritonei-pmp/algemeen/wat-is-pseudomyxoma-peritonei-pmp,Bij pseudomyxoma peritonei (PMP) heb je cellen in je buik die veel slijm maken. Je buik wordt door dit slijm steeds dikker. Pseudomyxoma peritonei is een zeldzame vorm van kanker. Per jaar krijgen ongeveer 30 mensen de diagnose.,Over het algemeen zijn de vooruitzichten bij laaggradige PMP beter dan bij hooggradige PMP. Je kunt lang leven met laaggradige PMP. Vijf jaar na de diagnose leven ongeveer 9 van de 10 mensen met laaggradige PMP nog. En na 15 jaar is de helft van alle mensen nog in leven. Hooggradige PMP is agressiever. Van alle mensen met hooggradige PMP leeft ongeveer de helft nog 5 jaar na de diagnose.,Het duurt vaak lang eer duidelijk is dat je pseudomyxoma peritonei hebt. De meeste mensen met pseudomyxoma peritonei hebben in het begin geen klachten. Of je klachten lijken op het eerste gezicht onschuldig. Je kunt na een tijd last krijgen van een opvallend dikke buik en van een vol gevoel of van diarree of juist van verstopping. Lees verder over de symptomen bij pseudomyxoma peritonei .,"Pseudomyxoma peritonei ontstaat meestal vanuit een gezwel in je blinde darm. In het gezwel zitten cellen die slijm maken. Het is niet bekend waarom zo’n gezwel ontstaat. Er zijn geen risicofactoren bekend die de kans groter maken dat je pseudomyxoma peritonei krijgt. Voor zover nu bekend is, is PMP ook niet erfelijk.","De meeste mensen met pseudomyxoma peritonei krijgen een operatie met HIPEC. Dit is een behandeling die uit 2 delen bestaat: de arts haalt eerst zo veel mogelijk slijm en de slijmvormende cellen uit de buikholte. Ook verwijdert hij of zij de blinde darm en de organen waar het slijm aan vast zit. Daarna spoelt de chirurg de buik met warme chemotherapie. Dit deel van de operatie heet HIPEC. Als je geen operatie met HIPEC kunt krijgen, krijg je soms chemotherapie via het infuus. Dat is meestal alleen mogelijk als je hooggradige PMP hebt. Lees verder over de behandeling van pseudomyxoma peritonei ."
Schaamlipkanker (vulvakanker),https://www.kanker.nl/kankersoorten/schaamlipkanker-vulvakanker/algemeen/wat-is-schaamlipkanker-vulvakanker,Schaamlipkanker is kanker die in de schaamlippen ontstaat. De schaamlippen zijn onderdeel van de vulva. Daarom heet schaamlipkanker ook wel vulvakanker of vulvacarcinoom.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is schaamlipkanker goed te behandelen en wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van schaamlipkanker .","Schaamlipkanker en de behandeling hebben vaak invloed op je leven. Soms kun je last blijven houden van de gevolgen van de behandeling. Bijvoorbeeld: vermoeidheid, plasklachten, darmklachten, problemen met seksualiteit of lymfoedeem. Lees verder over klachten na schaamlipkanker .",Schaamlipkanker komt vooral voor bij vrouwen ouder dan 60 jaar. De precieze oorzaak van schaamlipkanker is niet bekend. Deze aandoeningen geven een grotere kans op schaamlipkanker (vulvakanker): de huidziekte lichen sclerosus van de vulva een langdurige HPV-infectie van de vulva de huidziekte morbus Paget van de vulva Lees verder over deze risicofactoren voor schaamlipkanker .,"Er zijn verschillende behandelingen mogelijk bij schaamlipkanker. Bijvoorbeeld een operatie, bestraling en chemotherapie. Soms krijg je een combinatie van deze behandelingen. Lees verder over behandelingen bij schaamlipkanker ."
Schildklierkanker,https://www.kanker.nl/kankersoorten/schildklierkanker/algemeen/wat-is-schildklierkanker,Schildklierkanker is zeldzaam. In 2025 kregen 894 mensen de diagnose schildklierkanker. De schildklier zit in de hals en maakt hormonen: belangrijke stoffen die invloed hebben op de werking van organen.,N/A,"Schildklierhormoon is onmisbaar. De arts schrijft schildklierhormoon voor als het lichaam het zelf niet meer maakt. Het duurt een aantal maanden voor duidelijk is wat een goede hoeveelheid schildklierhormoon is. Door te weinig schildklierhormoon kunnen klachten ontstaan als: het koud hebben vermoeidheid, verstopping of aankomen. Lees meer over de gevolgen van schildklierkanker .","Er is niet één oorzaak voor schildklierkanker. Wel kan de kans om schildklierkanker te krijgen groter worden door bestraling op jonge leeftijd van het hoofd, de hals of de borst. Of door erfelijke aanleg, bijvoorbeeld door het MEN-2-syndroom .",Bij papillaire schildklierkanker en folliculaire schildklierkanker volgt na de operatie vaak een behandeling met radioactief jodium. Het radioactief jodium zit in een kleine capsule die je inslikt. Door de straling in het radioactief jodium gaan de schildklierkankercellen stuk.
Slokdarmkanker,https://www.kanker.nl/kankersoorten/slokdarmkanker/algemeen/wat-is-slokdarmkanker,Slokdarmkanker is kanker die in de slokdarm ontstaat. De medische term hiervoor is oesofaguscarcinoom.,Slokdarmkanker komt redelijk vaak voor. Elk jaar krijgen in Nederland ongeveer 2500 mensen de diagnose slokdarmkanker. Na 5 jaar zijn gemiddeld nog 24 van de 100 mensen in leven. Voor de prognose maakt het veel uit in welk stadium de ziekte is als het ontdekt wordt. Bekijk de uitgebreide overlevingscijfers bij slokdarmkanker .,Je krijgt meestal pas klachten door slokdarmkanker als de tumor al flink gegroeid is. Er kunnen dan al uitzaaiingen zijn. De kans op genezing is groter als de tumor vroeg ontdekt wordt. Daarom is het belangrijk om de symptomen van slokdarmkanker te kunnen herkennen. Lees meer over de symptomen bij slokdarmkanker .,"Er is meestal geen precieze oorzaak van slokdarmkanker te vinden. Er zijn wel dingen die de kans op slokdarmkanker vergroten, zoals roken, overgewicht en reflux. Lees meer over de oorzaken en risicofactoren van slokdarmkanker .","Bij slokdarmkanker zijn verschillende behandelingen mogelijk. Samen met je arts bespreek je wat in jouw situatie de beste behandeling is. Mogelijke behandelingen zijn: Endoscopische behandeling Chemoradiatie Operatie Bestraling Chemotherapie Immunotherapie Doelgerichte therapie Een stent Bij de behandeling van slokdarmkanker maakt het veel uit of de tumor alleen in de slokdarm zit, is doorgegroeid of is uitgezaaid. Bekijk de mogelijke behandelingen per stadium ."
Speekselklierkanker,https://www.kanker.nl/kankersoorten/speekselklierkanker/algemeen/wat-is-speekselklierkanker,Bij speekselklierkanker zit er een kwaadaardige tumor in een speekselklier. Speekselklierkanker is een zeldzame soort kanker. In 2025 kregen 302 mensen de diagnose speekselklierkanker.,"De vooruitzichten bij speekselklierkanker hangen af van het soort speekselklierkanker, hoe agressief de tumor is en of er uitzaaiingen zijn. Na 10 jaar is gemiddeld nog de helft van de mensen in leven. Bekijk de cijfers over speekselklierkanker .","De meest voorkomende klachten bij speekselklierkanker zijn een zwelling in het gezicht en een verlamming van het gezicht. De verlamming in het gezicht zit vooral bij het oog en in de mondhoek. De zwelling kan pijn doen, maar dat hoeft niet altijd. Niet alle mensen met speekselklierkanker hebben klachten. Bij een deel van de mensen wordt de ziekte toevallig ontdekt. Lees meer over de symptomen van speekselklierkanker .","De precieze oorzaak van speekselklierkanker is niet bekend. Wel zijn er een aantal zaken die de kans op speekselklierkanker vergroten. Dat is bijvoorbeeld een eerdere behandeling met bestraling. En blootstelling aan bepaalde giftige stoffen, bijvoorbeeld in de industrie. Lees verder over de risicofactoren van speekselklierkanker .","Voor speekselklierkanker zijn een paar behandelingen mogelijk. Meestal krijg je een operatie. De arts haalt dan de speekselklier met tumor weg. Na de operatie is vaak nog bestraling nodig. Na de behandeling is er een kans dat de ziekte terugkomt. Je arts kan je vertellen welke behandeling dan mogelijk is. Als de tumor ver is doorgegroeid of is uitgezaaid naar andere organen, is genezing vaak niet meer mogelijk. Je krijgt dan een behandeling om de ziekte te remmen. Bekijk de uitgebreide informatie over de behandeling van speekselklierkanker ."
Strottenhoofdkanker,https://www.kanker.nl/kankersoorten/strottenhoofdkanker/algemeen/wat-is-strottenhoofdkanker,"Strottenhoofdkanker is kanker van het strottenhoofd. Een tumor kan op verschillende plekken in het strottenhoofd ontstaan. Meestal ontstaat de tumor op de stembanden, soms erboven en soms eronder.",N/A,N/A,N/A,N/A
Talgkliercarcinoom,https://www.kanker.nl/kankersoorten/talgkliercarcinoom/algemeen/wat-is-talgkliercarcinoom,Een talgkliercarcinoom is een agressieve vorm van huidkanker. Deze kanker ontstaat in je talgklieren. Talgklieren zitten op bijna alle plekken in je huid. Maar vooral bij je ooglid zitten veel talgklieren.,"Begrijpelijk dat je op zoek gaat naar wat talgkliercarcinoom betekent voor je vooruitzichten. Is het goed te behandelen? En wat kun je verwachten voor de toekomst? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van talgkliercarcinoom hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.",N/A,"Er zijn risicofactoren die de kans op een talgkliercarcinoom groter maken. Mensen met het Lynch-syndroom èn het Muir-Torre syndroom hebben meer kans om een talgkliercarcinoom te krijgen. Heb je eerder bestraling gehad op je huid? Dan heb je op de bestraalde plek een iets grotere kans op huidkanker, en dus ook op talgklierkanker. Lees verder over de oorzaken en risicofactoren van talgklierkanker .",Er zijn verschillende behandelingen mogelijk bij een talgkliercarcinoom. De meeste mensen krijgen een operatie. Sommige mensen krijgen chemotherapie of bestraling. Lees verder over behandelingen bij talgkliercarcinoom .
Thymuskanker,https://www.kanker.nl/kankersoorten/thymuskanker/algemeen/wat-is-thymuskanker,"Thymuskanker is kanker van de thymus. Er zit dan een kwaadaardige tumor in de thymus. De thymus is belangrijk voor de ontwikkeling van je afweersysteem. Het orgaan ligt in de borstkas, vlak achter het borstbeen en dicht bij het hart. Een ander woord voor thymus is zwezerik. Thymuskanker heet ook wel zwezerikkanker.",N/A,Thymuskanker geeft meestal lange tijd geen klachten. Vaak wordt thymuskanker toevallig ontdekt. Symptomen van thymuskanker zijn bijvoorbeeld benauwdheid en pijn in de borstkas. Lees verder over de symptomen van thymuskanker .,Er is geen duidelijke oorzaak van thymuskanker. Ook is niet bekend of er risicofactoren zijn die de kans groter maken dat je thymuskanker krijgt. Thymuskanker is niet erfelijk.,Vrijwel alle mensen met thymuskanker krijgen een operatie waarbij de arts de thymus verwijdert. Na de operatie kan bestraling nodig zijn. Lees verder over de behandeling van thymuskanker .
Tongkanker,https://www.kanker.nl/kankersoorten/tongkanker/algemeen/wat-is-tongkanker,Bij tongkanker zit er kanker in of op de tong. Bij kanker gaat het om een kwaadaardige tumor. Tongkanker is een vorm van hoofd-halskanker.,N/A,"Tongkanker kan verschillende klachten geven. Symptomen die het meest voorkomen zijn een gezwollen tong, pijn aan de tong, of een wondje dat niet geneest. Lees verder over de symptomen bij tongkanker .",De belangrijkste oorzaken van tongkanker zijn roken en veel alcohol drinken. Ook besmetting met HPV kan een oorzaak zijn voor tongkanker. Er zijn ook nog een paar andere risicofactoren .,"Bij tongkanker zijn verschillende behandelingen mogelijk. Zit de tumor in het voorste deel van de tong en is er kans op genezing? Dan krijg je meestal een operatie. Na de operatie volgt vaak nog een nabehandeling met bestraling, of met chemoradiatie. Als de kanker in de tongbasis zit en er genezing mogelijk is, stelt de arts meestal een behandeling voor met bestraling, vaak samen met chemotherapie. Dit heet chemoradiatie. Als genezing niet meer mogelijk is, zijn er verschillende behandelingen die als doel hebben de ziekte te remmen. Zoals bestraling, chemotherapie en immunotherapie. Bekijk de uitgebreide informatie over de behandeling van tongkanker ."
Trofoblastziekten,https://www.kanker.nl/kankersoorten/trofoblastziekten/algemeen/wat-is-trofoblastziekten,Trofoblastziekten ontstaan tijdens of na een zwangerschap in de placenta. Trofoblastziekten zijn meestal goedaardig. Kwaadaardige trofoblastziekten (kanker) komen maar een paar keer per jaar voor in Nederland.,N/A,N/A,N/A,N/A
